activity_ID,activity_label,610000,600000,617150,617000,610001,600011,617151,617001
1,Child_sleeping,8.09,8.88,8.49,8.92,8.09,8.88,8.44,8.71
2,Housework,0.73,2.45,2.03,3.04,0.73,3.49,2.45,3.3
3,Shopping,0.31,0.4,0.46,0.54,0.31,0.4,0.56,1.39
4,CaringForChild,2.7,6,3.9,4.71,1.71,4.87,1.39,3.81
5,Education,0.1,0.17,0.2,0.31,0.1,0.19,0.24,0.36
6,Recreation,0.9,4.5,1.9,2.11,2.2,3.76,3.45,3.79
7,OtherActivities,1.17,1.6,2.02,4.37,1.26,2.41,2.47,2.64
8,working,10,0,5,0,9.6,0,5,0
